sr_pcode,state_region,ts_pcode,township,vt_pcode,village_tract,village_pcode,village,village_mya_mmr3
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002007,Kun Tar,169377,Tha Di Kho,သဒီခို
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002023,Kwee Lay,169463,Ka Mar Hta,ကမားထ
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002023,Kwee Lay,169462,Kun Taw,ကွမ်းတော
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002023,Kwee Lay,169461,Kwee Lay,ကွီးလေး
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002024,Kyar Inn,169464,Kyar Inn,ကြာအင်း
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002024,Kyar Inn,169465,Waing Htaw,ဝိုင်းထော်
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002024,Kyar Inn,169466,Ywar Ka Lay,ရွာကလေး
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002061,Kyet Tu Yway,169651,Hnget Pyaw Taw,ငှက်ပျောတော
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002061,Kyet Tu Yway,169648,Hpa Yar Kone,ဘုရားကုန်း
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002061,Kyet Tu Yway,169649,Hti Hpoe Khwee,ထီဖိုးခွီး
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002061,Kyet Tu Yway,169650,Kawt Kyar,ကော့ကြား
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002061,Kyet Tu Yway,169647,Kyun Su,ကျွန်းစု
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002037,Kyoet Chaung,169533,Gyoet Chaung,ဂျို့ချောင်း
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002036,Kyon Pa Ko,169528,Kyon Pa Ko,ကျုံပကို
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002036,Kyon Pa Ko,169532,Kyon Pa Ko Ywar Thit,ကျုံပကိုရွာသစ်
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002036,Kyon Pa Ko,169530,Naw Pa Nar Mein,နောပနာမိန်
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002036,Kyon Pa Ko,169531,Nyaung Pin,ညောင်ပင်
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002036,Kyon Pa Ko,169529,Yar Mee Kone,ရာမီးကုန်း
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002067,Law Kaw,169683,Htee Hpoe Kat,ထီးဖိုးကပ်
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002067,Law Kaw,169681,Law Kaw,လော်ကော်
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002067,Law Kaw,169684,Nat Gyi,နတ်ကြီး
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002067,Law Kaw,169682,Ta Ngaw,တငေါ
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002067,Law Kaw,169685,Tha Yae Hta,သရေထ
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002029,Me La Yaw,169492,Hnget Pyaw Taw,ငှက်ပျောတော
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002029,Me La Yaw,169499,Htee Ka Law,ထီးကလော
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002029,Me La Yaw,169494,Htee Ka Lo Thaw,ထီးကလိုသော
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002029,Me La Yaw,169495,Htee Ka Ne,ထီးကနဲ
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002029,Me La Yaw,169496,Htee Khi Kho,ထီးခိခို
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002029,Me La Yaw,169498,Htee Naw Hta,ထီးနောထ
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002029,Me La Yaw,169493,Htee Sa Hta,ထီးစထ
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002029,Me La Yaw,169497,Me Hpaw,မဲဖော
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002029,Me La Yaw,169491,Me La Yaw,မဲလရော
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002021,Me Law Khee,169448,Htee Hpar Ret,ထီးဖါးရက်
