"geo_vt","geo_ward","geo_ehovill","xy"
"","MMR002001701502","","MMR002001701502"
"","MMR002001701502","","MMR002001701502"
"","MMR002001701502","","MMR002001701502"
"","MMR002001701502","","MMR002001701502"
"MMR003002018","","","MMR003002018"
"MMR003002018","","","MMR003002018"
"","MMR002001701502","","MMR002001701502"
"MMR003002018","","","MMR003002018"
"MMR003002018","","","MMR003002018"
"MMR003002018","","","MMR003002018"
"","MMR002001701501","","MMR002001701501"
"MMR003002018","","","MMR003002018"
"","MMR002001701501","","MMR002001701501"
"","MMR002001701501","","MMR002001701501"
"","MMR002001701501","","MMR002001701501"
"","MMR002001701504","","MMR002001701504"
"MMR003002018","","","MMR003002018"
"MMR003002018","","","MMR003002018"
"MMR003002018","","","MMR003002018"
"","MMR002001701504","","MMR002001701504"
"MMR003002018","","","MMR003002018"
"MMR003002018","","","MMR003002018"
"","MMR002001701508","","MMR002001701508"
"","MMR003007701501","","MMR003007701501"
"","MMR003007701501","","MMR003007701501"
"","MMR003001701505","","MMR003001701505"
"","MMR003001701505","","MMR003001701505"
"","MMR003001701505","","MMR003001701505"
"","MMR003001701505","","MMR003001701505"
"","MMR003001701505","","MMR003001701505"
"","MMR003001701505","","MMR003001701505"
"","MMR003001701505","","MMR003001701505"
"","MMR003001701505","","MMR003001701505"
"","MMR003001701505","","MMR003001701505"
"","MMR003007701501","","MMR003007701501"
"","MMR002001701504","","MMR002001701504"
"","MMR002001701504","","MMR002001701504"
"","MMR002001701504","","MMR002001701504"
"","MMR002001701504","","MMR002001701504"
"","MMR002001701504","","MMR002001701504"
"","MMR002001701504","","MMR002001701504"
"","MMR002001701504","","MMR002001701504"
"","MMR003001701505","","MMR003001701505"
"","MMR003001701505","","MMR003001701505"
"","MMR003001701505","","MMR003001701505"
"","MMR002001701504","","MMR002001701504"
"","MMR002001701504","","MMR002001701504"
"","MMR002001701504","","MMR002001701504"
"","MMR002001701503","","MMR002001701503"
"","MMR002001701503","","MMR002001701503"
"","MMR002001701503","","MMR002001701503"
"","MMR002001701508","","MMR002001701508"
"","MMR002001701503","","MMR002001701503"
"","MMR002001701503","","MMR002001701503"
"","MMR002001701503","","MMR002001701503"
"","MMR002001701503","","MMR002001701503"
"","MMR002001701503","","MMR002001701503"
"","MMR002001701508","","MMR002001701508"
"","MMR002001701508","","MMR002001701508"
"","MMR002001701508","","MMR002001701508"
"","MMR002001701508","","MMR002001701508"
"","MMR002001701501","","MMR002001701501"
"","MMR002001701503","","MMR002001701503"
"","MMR002001701503","","MMR002001701503"
"","MMR002001701503","","MMR002001701503"
"","MMR002001701508","","MMR002001701508"
"","MMR002001701503","","MMR002001701503"
"","MMR002001701503","","MMR002001701503"
"","MMR002001701503","","MMR002001701503"
"","MMR002001701503","","MMR002001701503"
"","MMR002001701508","","MMR002001701508"
"","MMR002001701508","","MMR002001701508"
"","MMR002001701503","","MMR002001701503"
"","MMR002001701503","","MMR002001701503"
"","MMR002001701508","","MMR002001701508"
"","MMR002001701508","","MMR002001701508"
"","MMR002001701504","","MMR002001701504"
"","MMR002001701504","","MMR002001701504"
"","MMR002001701504","","MMR002001701504"
"","MMR003007701501","","MMR003007701501"
"","MMR003007701501","","MMR003007701501"
"","MMR003007701501","","MMR003007701501"
"","MMR003007701501","","MMR003007701501"
"","MMR003007701501","","MMR003007701501"
"","MMR003007701501","","MMR003007701501"
"","MMR003007701501","","MMR003007701501"
"","MMR002001701504","","MMR002001701504"
"","MMR003007701501","","MMR003007701501"
"","MMR003007701501","","MMR003007701501"
"","MMR003007701501","","MMR003007701501"
"","MMR003001701505","","MMR003001701505"
"","MMR003001701505","","MMR003001701505"
"","MMR003001701505","","MMR003001701505"
"","MMR003001701505","","MMR003001701505"
"","MMR003001701505","","MMR003001701505"
"","MMR003001701505","","MMR003001701505"
"","MMR003007701501","","MMR003007701501"
"","MMR003001701505","","MMR003001701505"
"","MMR003001701505","","MMR003001701505"
"","","ehokayinvill_26","ehokayinvill_26"
"","","ehokayinvill_26","ehokayinvill_26"
"","","ehokayinvill_26","ehokayinvill_26"
"","","ehokayinvill_26","ehokayinvill_26"
"","","ehokayinvill_26","ehokayinvill_26"
"","","ehokayinvill_4","ehokayinvill_4"
"","","ehokayinvill_4","ehokayinvill_4"
"","","ehokayinvill_4","ehokayinvill_4"
"","","ehokayinvill_4","ehokayinvill_4"
"","","ehokayinvill_4","ehokayinvill_4"
"","MMR002001701506","","MMR002001701506"
"","MMR002001701509","","MMR002001701509"
"","MMR002001701506","","MMR002001701506"
"","MMR002001701509","","MMR002001701509"
"","MMR002001701508","","MMR002001701508"
"","MMR002001701509","","MMR002001701509"
"","MMR002001701506","","MMR002001701506"
"","MMR002001701509","","MMR002001701509"
"","MMR003005701502","","MMR003005701502"
"","MMR003007701501","","MMR003007701501"
"","MMR003007701501","","MMR003007701501"
"","MMR003007701501","","MMR003007701501"
"","MMR003007701501","","MMR003007701501"
"","MMR002001701509","","MMR002001701509"
"","MMR002001701506","","MMR002001701506"
"","MMR002001701509","","MMR002001701509"
"","MMR002001701506","","MMR002001701506"
"","MMR002001701506","","MMR002001701506"
"","MMR002001701506","","MMR002001701506"
"","MMR002001701502","","MMR002001701502"
"","MMR002001701506","","MMR002001701506"
"","MMR002001701506","","MMR002001701506"
"","MMR002001701509","","MMR002001701509"
"","MMR002001701506","","MMR002001701506"
"","MMR002001701506","","MMR002001701506"
"","MMR002001701509","","MMR002001701509"
"","MMR002001701509","","MMR002001701509"
"","MMR002001701504","","MMR002001701504"
"MMR003007051","","","MMR003007051"
"MMR003007051","","","MMR003007051"
"","MMR003001701505","","MMR003001701505"
"","MMR003001701505","","MMR003001701505"
"","MMR003001701505","","MMR003001701505"
"","MMR003001701505","","MMR003001701505"
"","MMR003001701505","","MMR003001701505"
"","MMR003001701505","","MMR003001701505"
"","MMR003001701505","","MMR003001701505"
"","MMR003001701505","","MMR003001701505"
"","MMR003001701505","","MMR003001701505"
"","MMR003001701505","","MMR003001701505"
"","MMR003001701505","","MMR003001701505"
"","MMR003001701505","","MMR003001701505"
"","MMR002001701513","","MMR002001701513"
"","MMR002001701513","","MMR002001701513"
"","MMR002001701509","","MMR002001701509"
"","MMR002001701513","","MMR002001701513"
"","MMR002001701513","","MMR002001701513"
"","MMR002001701509","","MMR002001701509"
"","MMR002001701513","","MMR002001701513"
"","MMR002001701513","","MMR002001701513"
"MMR003007051","","","MMR003007051"
"MMR003007051","","","MMR003007051"
"MMR003007051","","","MMR003007051"
"MMR003007051","","","MMR003007051"
"MMR003007051","","","MMR003007051"
"MMR003007051","","","MMR003007051"
"MMR003007051","","","MMR003007051"
"","MMR002001701513","","MMR002001701513"
"","MMR002001701513","","MMR002001701513"
"MMR003007051","","","MMR003007051"
"MMR003007051","","","MMR003007051"
"MMR003007051","","","MMR003007051"
"MMR003007051","","","MMR003007051"
"MMR003007051","","","MMR003007051"
"MMR003007051","","","MMR003007051"
"MMR003006001","","","MMR003006001"
"MMR003006001","","","MMR003006001"
"MMR003006001","","","MMR003006001"
"MMR003006001","","","MMR003006001"
"MMR003006001","","","MMR003006001"
"MMR003006001","","","MMR003006001"
"","MMR002001701512","","MMR002001701512"
"","MMR002001701512","","MMR002001701512"
"","MMR002004701502","","MMR002004701502"
"","MMR002004701502","","MMR002004701502"
"","MMR002001701509","","MMR002001701509"
"","MMR002001701512","","MMR002001701512"
"","MMR002001701509","","MMR002001701509"
"","MMR002001701512","","MMR002001701512"
"","MMR002004701502","","MMR002004701502"
"","MMR002004701502","","MMR002004701502"
"","MMR002004701502","","MMR002004701502"
"","MMR002001701509","","MMR002001701509"
"","MMR002001701513","","MMR002001701513"
"","MMR002001701512","","MMR002001701512"
"","MMR002001701513","","MMR002001701513"
"","MMR002001701509","","MMR002001701509"
"","MMR002001701512","","MMR002001701512"
"","MMR002001701509","","MMR002001701509"
"","MMR002001701509","","MMR002001701509"
"","MMR002001701509","","MMR002001701509"
"MMR003006001","","","MMR003006001"
"MMR003006001","","","MMR003006001"
"MMR003006001","","","MMR003006001"
"","MMR002004701502","","MMR002004701502"
"","MMR002004701502","","MMR002004701502"
"","MMR002004701502","","MMR002004701502"
"","MMR002004701502","","MMR002004701502"
"","MMR002004701502","","MMR002004701502"
"","MMR002004701502","","MMR002004701502"
"","MMR002004701502","","MMR002004701502"
"","MMR002004701502","","MMR002004701502"
"","MMR002004701502","","MMR002004701502"
"","MMR002004701502","","MMR002004701502"
"MMR003006001","","","MMR003006001"
"MMR003007051","","","MMR003007051"
"MMR003007051","","","MMR003007051"
"MMR003006001","","","MMR003006001"
"MMR003006001","","","MMR003006001"
"MMR003006001","","","MMR003006001"
"MMR003006001","","","MMR003006001"
"","MMR003001701505","","MMR003001701505"
"","MMR003001701505","","MMR003001701505"
"","MMR003001701505","","MMR003001701505"
"","MMR003001701505","","MMR003001701505"
"","MMR003001701505","","MMR003001701505"
"","MMR003001701505","","MMR003001701505"
"","MMR003001701505","","MMR003001701505"
"","MMR003001701505","","MMR003001701505"
"","MMR003001701505","","MMR003001701505"
"","MMR003001701505","","MMR003001701505"
"","MMR003001701505","","MMR003001701505"
"","MMR003001701505","","MMR003001701505"
"","MMR002001701509","","MMR002001701509"
"","MMR002001701512","","MMR002001701512"
"MMR003007051","","","MMR003007051"
"MMR003007051","","","MMR003007051"
"MMR003007051","","","MMR003007051"
"MMR003007051","","","MMR003007051"
"MMR003007051","","","MMR003007051"
"MMR003007051","","","MMR003007051"
"MMR003007051","","","MMR003007051"
"MMR003006001","","","MMR003006001"
"MMR003006001","","","MMR003006001"
"","MMR002004701502","","MMR002004701502"
"","MMR002001701513","","MMR002001701513"
"","MMR002001701510","","MMR002001701510"
"","MMR002001701512","","MMR002001701512"
"","MMR002001701512","","MMR002001701512"
"","MMR002001701509","","MMR002001701509"
"","MMR002001701512","","MMR002001701512"
"","MMR002001701509","","MMR002001701509"
"","MMR002001701512","","MMR002001701512"
"","MMR002001701510","","MMR002001701510"
"","MMR002001701509","","MMR002001701509"
"","MMR002001701512","","MMR002001701512"
"","MMR002001701512","","MMR002001701512"
"","MMR002001701509","","MMR002001701509"
"","MMR002001701513","","MMR002001701513"
"","MMR002001701513","","MMR002001701513"
"","MMR002001701510","","MMR002001701510"
"","MMR002001701513","","MMR002001701513"
"","MMR002001701513","","MMR002001701513"
